RAT,Index,Band,TX att_Pri,TX att_Sec
LTE,0,1,0,0
LTE,1,2,0,0
LTE,2,3,0,0
LTE,3,4,0,0
LTE,4,5,0,0
LTE,5,6,0,0
LTE,6,7,0,0
LTE,7,8,0,0
LTE,8,9,0,0
LTE,9,10,0,0
LTE,10,11,0,0
LTE,11,12,0,0
LTE,12,13,0,0
LTE,13,14,0,0
LTE,14,15,0,0
LTE,15,16,0,0
LTE,16,17,0,0
LTE,17,18,0,0
LTE,18,19,0,0
LTE,19,20,0,0
LTE,20,21,0,0
LTE,21,22,0,0
LTE,22,23,0,0
LTE,23,24,0,0
LTE,24,25,0,0
LTE,25,26,0,0
LTE,26,27,0,0
LTE,27,28b,0,0
LTE,28,29,0,0
LTE,29,30,0,0
LTE,30,31,0,0
LTE,31,32,0,0
LTE,32,33,0,0
LTE,33,34,0,0
LTE,34,35,0,0
LTE,35,36,0,0
LTE,36,37,0,0
LTE,37,38,0,0
LTE,38,39,0,0
LTE,39,40,0,0
LTE,40,41a,0,0
LTE,41,42,0,0
LTE,42,43,0,0
LTE,43,44,0,0
UMTS,0,1,0,0
UMTS,1,2,0,0
UMTS,2,3,0,0
UMTS,3,4,0,0
UMTS,4,5,0,0
UMTS,5,6,0,0
UMTS,6,7,0,0
UMTS,7,8,0,0
UMTS,8,9,0,0
UMTS,9,10,0,0
UMTS,10,11,0,0
UMTS,11,12,0,0
UMTS,12,13,0,0
UMTS,13,14,0,0
UMTS,14,19,0,0
UMTS,15,20,0,0
UMTS,16,21,0,0
UMTS,17,22,0,0
UMTS,18,25,0,0
UMTS,19,26,0,0
UMTS,20,2+,0,0
UMTS,21,4+,0,0
UMTS,22,5+,0,0
UMTS,23,6+,0,0
UMTS,24,7+,0,0
UMTS,25,10+,0,0
UMTS,26,12+,0,0
UMTS,27,13+,0,0
UMTS,28,14+,0,0
UMTS,29,19+,0,0
UMTS,30,25+,0,0
UMTS,31,26+,0,0
GSM,0,3,0,0
GSM,1,5,0,0
GSM,2,8,0,0
GSM,3,9,0,0
GSM,4,2,0,0
